BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
3-hydroxybutyric acid	278632	191	145501	92135	C01089	WHBMMWSBFZVSSR-GSVOUGTGSA-N	Known	1
2-monoolein	941794	129	84531	5319879		UPWGQKDVAURUGE-KTKRTIGZSA-N	Known	1
2-hydroxyvaleric acid	309587	131	25922	98009		JRHWHSJDIILJAT-UHFFFAOYSA-N	Known	1
2-hydroxybutanoic acid	258161	131	40	440864	C05984	AFENDNXGAFYKQO-VKHMYHEASA-N	Known	1
2-deoxypentitol NIST	521785	231	21714	249377		ZDAWZDFBPUUDAY-UHFFFAOYSA-N	Known	1
2,3-dihydroxybutanoic acid NIST	384796	292	31743	250402		LOUGYXZSURQALL-UHFFFAOYSA-N	Known	1
1-monoolein	952623	129	7508	5283468		RZRNAYUHWVFMIP-KTKRTIGZSA-N	Known	1
1-methyladenosine	829921	259	106901	27476	C02494	GFYLSDSUCHVORB-IOSLPCCCSA-N	Known	1
203805	266589	86	203805				Known	1
199109	372119	228	199109				Known	1
192874	583057	91	192874				Known	1
191799	956879	204	191799				Known	1
189382	503125	292	189382				Known	1
188569	403391	160	188569				Known	1
183433	328618	154	183433				Known	1
183184	628408	292	183184				Known	1
183106	888422	160	183106				Known	1
171564	664278	319	171564				Known	1
171303	471069	85	171303				Known	1
170232	949662	307	170232				Known	1
170105	832990	205	170105				Known	1
167348	659520	204	167348				Known	1
161875	386583	217	161875				Known	1
161398	844072	93	161398				Known	1
161341	193184	104	161341				Known	1
135260	564758	275	135260				Known	1
133923	693907	233	133923				Known	1
133434	361974	140	133434				Known	1
133026	630577	218	133026				Known	1
132105	663631	218	132105				Known	1
131620	293525	87	131620				Known	1
129059	352022	226	129059				Known	1
127451	552009	290	127451				Known	1
126423	511515	110	126423				Known	1
125960	938149	217	125960				Known	1
125452	855921	325	125452				Known	1
124903	379856	85	124903				Known	1
124454	911230	192	124454				Known	1
123989	507067	185	123989				Known	1
122151	294155	99	122151				Known	1
121402	847493	95	121402				Known	1
121002	596203	197	121002				Known	1
120562	475084	98	120562				Known	1
119167	926703	132	119167				Known	1
119054	958948	204	119054				Known	1
119023	873486	103	119023				Known	1
117043	656983	188	117043				Known	1
113510	236275	105	113510				Known	1
112487	217815	174	112487				Known	1
110889	423283	140	110889				Known	1
110612	715649	172	110612				Known	1
110501	760155	103	110501				Known	1
110182	1076844	202	110182				Known	1
110013	823823	117	110013				Known	1
109625	461552	249	109625				Known	1
109386	542775	204	109386				Known	1
107960	826841	158	107960				Known	1
107882	544491	193	107882				Known	1
106936	238992	244	106936				Known	1
106629	967520	112	106629				Known	1
106344	952641	201	106344				Known	1
104362	1130737	195	104362				Known	1
103837	548646	258	103837				Known	1
102733	929900	271	102733				Known	1
102601	452509	254	102601				Known	1
100912	344452	174	100912				Known	1
99868	782065	113	99868				Known	1
97455	840764	93	97455				Known	1
95438	859517	98	95438				Known	1
87808	354436	228	87808				Known	1
87710	764072	98	87710				Known	1
85199	199716	117	85199				Known	1
84390	536892	98	84390				Known	1
84116	517387	103	84116				Known	1
66261	760411	174	66261				Known	1
64546	699999	204	64546				Known	1
53748	606251	91	53748				Known	1
49426	477636	99	49426				Known	1
46346	699862	117	46346				Known	1
46131	703272	204	46131				Known	1
45378	281781	140	45378				Known	1
42003	714710	179	42003				Known	1
41811	568579	197	41811				Known	1
41682	605091	144	41682				Known	1
34110	301301	117	34110				Known	1
34085	723290	117	34085				Known	1
33997	261405	182	33997				Known	1
33006	455951	259	33006				Known	1
32247	253754	245	32247				Known	1
31756	671388	166	31756				Known	1
