,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
109,517654,686130,601045,867289,724908,953123,890230,975052,732029,657178,887233,684249,530542,637652,586270,764572,688032,724700,795272,757006
110,1835,1338,1630,1140,771,1105,1091,1523,1279,938,1251,1170,1112,13360,859,1498,12713,952,933,1203
111,144,143,191,238,108,790,1026,1934,545,300,195,144,286,228,2760,387,187,210,158,194
112,415,219,331,238,185,1373,2227,2553,1793,778,119,596,884,525,2582,1928,613,128,155,143
113,2954,2925,3283,4042,2403,4284,4231,4059,3383,3130,3530,2944,4285,3231,3396,3060,3873,3511,2267,885
114,1027,722,972,724,799,877,849,564,901,1032,806,658,749,920,915,793,781,788,913,710
115,171379,59293,16151,7057,22758,2457,500,10670,4235,14932,3675,2503,2793,117476,31302,2189,3227,78812,8482,9101
116,4342,2254,5158,4203,4494,2879,3574,3390,6828,6220,2539,3735,5215,4423,4326,4980,4347,5289,4747,2888
117,3174,6016,4313,2427,18617,435,2130,5391,2595,5166,3714,824,1867,1754,1992,1193,1515,1804,2186,2308
118,1006,766,687,567,511,304,683,605,420,1074,678,474,902,813,732,209,489,394,532,382
119,109093,85013,74233,30215,67946,18535,48885,46810,72574,76197,37938,51844,71236,116991,71832,56651,73868,82595,29698,44236
120,1671,1707,1260,1070,1250,1537,311,1436,1435,1227,3259,1040,1566,583,1027,1010,1619,1271,1295,1162
121,1345,1063,1231,957,1004,742,1335,1098,680,1311,1749,1279,1531,1166,1145,999,986,832,1124,1373
122,19043,4589,7167,11350,3322,12601,21220,5960,9355,4309,53913,11499,10073,6686,5693,2815,5910,16895,4459,47639
123,364,715,512,780,1148,436,1060,1158,312,770,1272,1532,665,304,932,400,1065,1357,535,1065
124,677,800,824,663,564,598,1223,816,670,691,702,816,734,812,662,718,817,625,1181,772
125,10201,9546,12082,9839,9872,6766,8509,13504,13486,11997,10016,11833,11246,6739,11263,8555,13415,11878,12491,9358
126,9393,7077,5155,5600,6831,7489,9632,5526,8229,7658,820,6738,7154,8151,7318,6244,6642,6631,8193,5259
127,9959,15792,7342,14969,7255,14658,5707,5099,6452,11510,11491,13527,11318,19143,8620,4847,12685,14144,10497,2392
128,1573,2526,1634,731,1280,2179,2677,1239,2198,2306,1744,2415,1446,2261,1671,1534,2351,2107,1859,1642
129,535,329,195,521,202,224,364,386,294,305,289,295,353,1474,487,211,1207,474,187,204
130,123076,101839,126442,101819,91666,94916,117229,94849,110254,102834,91897,94969,105219,107367,111520,104373,116121,109641,115801,110202
131,3073,2215,2291,2586,1978,3375,2590,2157,2305,2652,2802,1000,3019,1781,2632,2502,3364,1076,2257,2269
132,1564,1071,808,792,1706,902,1187,1106,1465,872,1392,881,619,626,952,819,792,778,1103,622
133,3439,3784,4159,4295,3235,4771,3998,4641,3322,3836,4577,4869,4329,3974,5003,4925,4063,3970,3447,4086
134,43508,39390,42369,34681,35583,29062,41682,31516,42089,40341,30966,31043,33015,42963,37910,32569,41683,38909,41707,38267
135,12650,1379,1019,2407,1288,20267,3349,2694,1302,4338,575,3894,2422,2410,3366,2463,2933,2100,1816,3315
136,9697,2664,11024,5744,8081,7653,9719,8616,8660,8258,6145,7398,8972,1233,10297,10080,8588,8325,8765,2239
137,171,221,687,179,1225,551,269,789,479,544,520,910,1173,197,675,416,1184,277,3096,313
138,48892,43365,37802,40643,36319,38646,49211,40870,49007,3880,38706,34572,36257,51885,37813,35857,33946,29003,27236,30314
139,491,392,646,740,768,528,409,689,691,507,535,496,707,449,523,696,521,617,388,566
140,4686,2408,3639,3654,3070,2239,2895,2517,3158,3035,2598,2681,3398,2880,2907,7149,2498,9203,3479,1631
141,1784,1039,1000,965,1110,839,1356,658,1354,954,768,789,896,1087,825,767,1389,956,1077,758
142,2216,1698,1507,1974,2084,2032,647,1877,1907,2528,1338,2548,3759,1780,2987,898,682,2315,1872,2989
143,223,162,181,180,342,242,114,253,247,368,251,352,530,273,271,246,235,274,223,281
144,2045,1717,1454,1245,2440,1986,2338,1729,1569,2537,1463,1687,2561,1749,2027,3306,1934,2340,2045,776
145,2345,2847,2017,944,1957,2537,2719,2186,2542,2349,1736,2427,2368,2882,2465,2309,3506,2790,2508,1527
146,10377,7287,11575,9480,8110,10811,9392,6973,10145,9025,6129,7857,9966,9498,9407,8458,11507,8472,9326,9230
147,593,521,393,516,619,324,810,486,196,734,615,427,821,451,427,855,532,661,680,768
148,1098,1173,1293,1037,1013,955,847,1007,1310,737,1046,1528,1577,1109,1287,1015,1512,1145,1081,1140
149,4672,5403,4830,7138,4991,6161,6244,5252,6330,6428,4692,5274,4505,5665,5697,5578,6091,6268,5778,5319
150,2636,5413,5552,4844,4604,5487,5346,3933,4416,4538,3833,3768,4782,4915,4801,3989,5850,5220,5248,5008
151,2794,851,738,653,748,714,1195,2215,4712,607,2776,1692,937,506,852,675,654,755,751,739
152,18493,15513,22447,17178,15490,15455,15405,14999,15757,17460,15999,16102,5554,16275,17866,16819,10425,17231,17845,5523
153,8449,7077,7236,5838,7025,7078,7717,2163,7050,5749,1347,6230,5332,8151,5363,6244,8369,6691,5806,3867
154,3237,4007,4701,4542,3200,3528,4319,2483,3458,1638,3000,3470,3304,3583,4428,3857,4204,2033,3802,2230
155,3261,2815,3621,2081,3308,3528,3045,2192,1736,3251,2726,2002,3788,3311,1518,2560,2010,1184,2789,261
156,1900,2871,3105,2264,2435,1637,3952,1963,1023,3034,1497,3490,3073,4403,3195,4104,2978,4129,3212,3196
157,4275,4451,5577,4759,4203,5707,1153,2797,5655,6365,6551,3096,3488,4594,2138,3458,1652,2696,6725,4942
158,22811,17553,25055,20331,17191,21071,20873,17476,21509,20082,16521,18736,16423,20236,22295,18464,23709,22122,19964,18643
159,2765,1859,2801,1683,1818,964,2062,973,2129,2594,1606,2154,1797,1189,2643,1256,3056,2792,3513,2346
160,1351,1854,2386,1687,1477,2030,2101,1473,2087,2198,1428,1632,2656,1485,2314,1642,2635,1967,3175,1528
161,395,475,869,325,349,361,396,426,551,831,252,521,624,552,295,405,854,1185,464,672
162,728,668,1755,606,640,641,960,920,1238,1200,627,1254,1529,1004,1472,1054,1584,1314,805,953
163,1336,1239,1733,1492,1527,1321,1092,1578,1533,1987,1763,1844,1555,1503,2637,1549,2050,1143,1740,1667
164,6829,4760,2114,4509,6453,4613,2953,4142,5123,6591,3616,6298,3703,6035,2620,5122,7914,4886,5546,3560
165,14674,14500,18997,20109,13937,18074,19328,17001,18401,11124,18852,15789,18834,16659,16045,14181,13606,12697,19546,17543
166,7493,5956,3605,7750,7862,6038,6209,5109,6367,7283,4822,6010,13057,6094,7700,10629,3851,8226,6225,6159
167,3820,3672,3801,6251,3313,4990,6904,2303,4772,4992,5240,4143,2634,2964,3684,6961,3131,4911,4205,5175
168,1011,1099,1014,820,855,965,1063,791,746,921,1489,1121,1289,861,1163,798,1322,1134,1064,920
169,1772,1287,1328,1667,1924,1138,2888,1315,1769,1695,1967,1365,3054,1330,1532,2674,1123,1159,1920,685
170,4977,3648,8589,6045,10148,7488,9280,7368,7526,9719,6580,7245,8700,7249,6640,15489,5274,6652,9871,324
171,2124,4804,2643,2312,2634,3229,2778,5536,2153,1554,4320,3381,6751,2839,3850,2984,1294,4885,3989,1988
172,574,658,915,777,548,584,771,772,717,571,619,620,761,604,650,510,506,769,688,493
173,4331,3501,4273,3458,3275,3405,4044,2973,3595,3422,3192,2848,3011,3320,3700,3738,4020,3392,3257,3748
174,2151,1973,1991,1698,1564,2269,2558,1775,2039,1295,1925,749,1269,1405,1243,1250,2180,1314,1925,1336
175,6875,7179,7522,6780,5915,4254,4591,7346,6894,5553,536,3967,7965,8720,7162,8393,2074,8704,3141,7822
176,2681,3168,3045,3379,4959,2420,6137,4873,3046,4371,4447,2659,5299,3171,2709,5149,2742,4745,4345,5007
177,914,691,738,702,725,640,943,592,895,705,756,599,998,281,775,617,909,751,881,645
178,3274,2340,3294,3152,2711,2784,1719,2826,1100,2789,2548,1940,2457,2032,3189,2791,2662,1800,2107,3171
179,338,234,355,405,312,338,521,331,347,433,249,342,522,281,332,487,460,420,403,520
180,1233,2645,3515,1853,3254,1346,4348,2262,2580,2417,2133,3737,2332,3022,2863,5312,933,3223,2935,3471
181,1054,815,1192,1384,1113,1184,1807,811,1321,921,931,287,1762,1027,1029,1996,1077,659,1336,1575
182,1445,971,1317,1151,1716,991,1657,798,1509,2475,1000,685,1371,1262,1250,1590,1545,1890,1258,1170
183,2663,2466,3148,1240,3459,2921,4510,1905,3043,4026,2013,2233,3172,1649,2657,4664,2315,2763,3046,2592
184,5286,3063,4689,3656,1712,6860,8869,1381,4079,3023,2007,1908,4287,2640,7085,1782,1536,4907,4139,6894
185,1756,1304,1922,1786,1347,1322,1563,1454,1575,1327,1072,1783,1656,1109,1797,1548,1847,1951,1600,1513
186,966,1489,1150,1193,1019,1116,1058,1677,1122,1663,1427,1309,1090,1422,1159,1672,1006,856,1306,1646
187,632,781,1934,920,602,571,589,684,495,424,707,673,736,508,466,1012,640,789,901,3704
188,725,663,1124,818,650,790,782,811,788,740,582,648,1162,823,659,956,751,748,783,818
189,9170,12133,11652,13493,6462,13244,12406,14501,11559,8821,9386,12901,9700,8672,8387,9353,10555,445,14585,4547
190,2173,1337,1616,1888,1368,1449,2135,1346,1726,1120,1129,1642,1982,1792,2422,1529,1920,1491,1595,2332
191,967,722,441,421,217,1052,1117,193,185,149,304,161,183,348,120,124,190,109,187,536
192,984,1316,1739,1405,1601,1549,1635,1282,1047,1374,1493,1004,1820,739,818,1929,1845,1124,1328,1089
193,1300,948,1563,1256,1744,1667,2444,1100,1801,1878,1382,1356,1702,938,1663,2714,1359,1160,1560,1452
194,1163,1070,794,813,885,544,996,785,1437,1220,765,762,1722,894,862,843,781,943,1086,882
195,1251,1112,2045,1921,1626,1505,1309,1305,1372,1393,1625,1229,2075,869,1288,2261,1312,821,1730,1643
196,1010,923,1403,980,798,967,864,820,1135,655,746,821,1093,1019,1323,1201,989,1041,652,881
197,4141,56316,53485,75319,46657,50462,45238,59701,6476,64525,37864,75136,90271,12765,104345,61150,71973,32610,79522,4198
198,26676,23026,32811,28020,24678,26035,27233,22567,25371,23242,19733,21012,25773,25473,29027,23053,28846,27616,26198,24666
199,20486,17255,23287,12204,16652,19600,21236,15966,15038,17621,14839,17515,18622,18669,19238,17573,22266,18914,17709,16887
200,1131,981,938,323,650,968,1288,1046,991,846,865,932,1135,338,903,756,1131,685,899,834
201,812,784,1372,750,912,286,597,555,366,771,873,379,1284,523,553,1285,578,1382,1223,1182
202,2447,329,1457,3391,533,2980,3227,3548,3164,2931,3376,3454,1919,2664,3204,808,2246,2674,2762,3518
203,6314,5920,7422,7259,5000,3625,5165,5234,5961,6874,5068,5137,5636,6471,6136,6543,7534,5622,5909,5770
204,1291,993,1210,939,982,864,1222,774,1178,1187,993,1259,1501,894,1104,925,1357,1273,1217,992
205,1211,882,1011,340,968,1053,1350,840,1144,859,849,826,848,818,1097,809,1125,917,1401,904
206,1949,1965,2263,608,1573,2095,3430,2398,3335,3191,4096,5980,6549,3241,3478,3568,3772,2942,2779,2456
