"","BinBase name","ret.index","quant mz","BB id","PubChem","KEGG","InChI Key"
"129","creatinine","502599","115","31","588","C00791","DDRJAANPRJIHGJ-UHFFFAOYSA-N"
"130","conduritol-beta-expoxide","701723","318","34065","9989541","","ZHMWOVGZCINIHW-SPHYCDKFSA-N"
"131","citrulline","622918","157","46151","9750","C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N"
"132","citric acid","617342","273","288","311","C00158","KRKNYBCHXYNGOX-UHFFFAOYSA-N"
"133","cis-gondoic acid","847372","367","87783","5282768","C16526","                           "
"134","cholic acid","1110266","253","183272","221493","C05463","BHQCQFFYRZLCQQ-OELDTZBJSA-N"
"135","cholesterol","1078536","129","19","5997","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N"
"136","capric acid","452386","229","50422","2969","C01571","GHVNFZFCNZKVNT-UHFFFAOYSA-N"
"137","butane-2,3-diol NIST","205778","117","485","262","C03046","OWBTYPJTUOEWEK-UHFFFAOYSA-N"
"138","benzylalcohol","280360","165","16321","2879","C01468","WVDDGKGOMKODPV-UHFFFAOYSA-N"
"139","benzoic acid","339067","179","36","243","C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N"
"140","behenic acid","920648","117","46315","8215","C08281","UKMSUNONTOPOIO-UHFFFAOYSA-N"
"141","aspartic acid","480387","232","79","5960","C00049","CKLJMWTZIZZHCS-REOHCLBHSA-N"
"142","asparagine","553078","188","146","6267","C00152","DCXYFEDJOCDNAF-REOHCLBHSA-N"
"143","arachidonic acid","834339","91","6529","444899","C00219","YZXBAPSDXZZRGB-DOFZRALJSA-N"
"144","arachidic acid","856421","117","291","10467","C06425","VKOBVWXKNCXXDE-UHFFFAOYSA-N"
"145","arabinose","550621","217","17886","6902","C00216","SRBFZHDQGSBBOR-ZRMNMSDTSA-N"
"146","aminomalonate","455754","218","413","100714","C00872","JINBYESILADKFW-UHFFFAOYSA-N"
"147","alpha-ketoglutarate","507392","198","294","51","C00026","KPGXRSRHYNQIFN-UHFFFAOYSA-N"
"148","alpha-aminoadipic acid","571057","260","17973","92136","C00956","OYIFNHCXNCRBQI-BYPYZUCNSA-N"
"149","allantoic acid","726050","259","117021","203","C00499","NUCLJNSWZCHRKL-UHFFFAOYSA-N"
"150","alanine","243971","116","34178","5950","C00041","QNAYBMKLOCPYGJ-REOHCLBHSA-N"
"151","adipic acid","474435","111","125","196","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N"
"152","aconitic acid","586815","229","29","643757","C00417","GTZCVFVGUGFEME-IWQZZHSRSA-N"
"153","acetophenone NIST","238615","105","3524","7410","C07113","KWOLFJPFCHCOCG-UHFFFAOYSA-N"
"154","5-methoxytryptamine","864466","174","284","1833","C05659","JTEJPPKMYBDEMY-UHFFFAOYSA-N"
"155","5-hydroxy-3-indoleacetic acid","777606","290","31552","1826","C05635","DUUGKQCEGZLZNO-UHFFFAOYSA-N"
"156","4-hydroxyphenylacetic acid","542795","179","31555","127","C00642","XQXPVVBIMDBYFF-UHFFFAOYSA-N"
"157","3-phosphoglycerate","610734","227","1667","724","C00597","OSJPPGNTCRNQQC-UHFFFAOYSA-N"
"158","3-hydroxyphenylacetic acid","527648","164","32360","12122","C05593","FVMDYYGIDFPZAX-UHFFFAOYSA-N"
"159","3-hydroxybutyric acid","278632","191","145501","92135","C01089","WHBMMWSBFZVSSR-GSVOUGTGSA-N"
"160","3-hydroxy-3-methylglutaric acid","521554","247","32000","1662","C03761","NPOAOTPXWNWTSH-UHFFFAOYSA-N"
"161","2-monoolein","941794","129","84531","5319879","","UPWGQKDVAURUGE-KTKRTIGZSA-N"
"162","2-ketoisocaproic acid","310761","89","208","70","C00233","BKAJNAXTPSGJCU-UHFFFAOYSA-N"
"163","2-hydroxyvaleric acid","309587","131","25922","98009","","JRHWHSJDIILJAT-UHFFFAOYSA-N"
"164","2-hydroxyglutaric acid","506306","247","2000","43","C02630","HWXBTNAVRSUOJR-UHFFFAOYSA-N"
"165","2-hydroxybutanoic acid","258161","131","40","440864","C05984","AFENDNXGAFYKQO-VKHMYHEASA-N"
"166","2-deoxytetronic acid","433456","189","1208","150929","","DZAIOXUZHHTJKN-UHFFFAOYSA-N"
"167","2-deoxypentitol NIST","521785","231","21714","249377","","ZDAWZDFBPUUDAY-UHFFFAOYSA-N"
"168","2,5-dihydroxypyrazine NIST","397526","241","2254","23368901","","USHRADXTTYICIJ-UHFFFAOYSA-N"
"169","2,3-dihydroxybutanoic acid NIST","384796","292","31743","250402","","LOUGYXZSURQALL-UHFFFAOYSA-N"
"170","1-monopalmitin","901749","129","2070","14900","C01885","QHZLMUACJMDIAE-UHFFFAOYSA-N"
"171","1-monoolein","952623","129","7508","5283468","","RZRNAYUHWVFMIP-KTKRTIGZSA-N"
"172","1-methylgalactose NIST","664807","204","477","2108","","HOVAGTYPODGVJG-UHFFFAOYSA-N"
"173","1-methyladenosine","829921","259","106901","27476","C02494","GFYLSDSUCHVORB-IOSLPCCCSA-N"
"174","1,2-cyclohexanedione","552422","129","103838","13006","C06105","OILAIQUEIWYQPH-UHFFFAOYSA-N"
"175","203805","266589","86","203805","","",""
"176","203801","541614","103","203801","","",""
"177","199109","372119","228","199109","","",""
"178","192876","250143","110","192876","","",""
"179","192874","583057","91","192874","","",""
"180","191801","469696","217","191801","","",""
"181","191799","956879","204","191799","","",""
"182","191798","392937","204","191798","","",""
"183","189382","503125","292","189382","","",""
"184","189321","328066","154","189321","","",""
"185","188569","403391","160","188569","","",""
"186","187854","695806","305","187854","","",""
"187","183433","328618","154","183433","","",""
"188","183216","566550","103","183216","","",""
"189","183184","628408","292","183184","","",""
"190","183139","667334","205","183139","","",""
"191","183106","888422","160","183106","","",""
"192","183055","583838","103","183055","","",""
"193","171564","664278","319","171564","","",""
"194","171305","1134692","441","171305","","",""
"195","171303","471069","85","171303","","",""
"196","170512","390356","271","170512","","",""
"197","170232","949662","307","170232","","",""
"198","170131","617861","196","170131","","",""
"199","170105","832990","205","170105","","",""
"200","170069","280835","145","170069","","",""
"201","167348","659520","204","167348","","",""
"202","161878","361182","341","161878","","",""
"203","161875","386583","217","161875","","",""
"204","161843","674080","129","161843","","",""
"205","161398","844072","93","161398","","",""
"206","161381","564053","140","161381","","",""
"207","161341","193184","104","161341","","",""
"208","135619","917812","132","135619","","",""
"209","135260","564758","275","135260","","",""
"210","134336","493891","85","134336","","",""
"211","133923","693907","233","133923","","",""
"212","133605","655025","273","133605","","",""
"213","133434","361974","140","133434","","",""
"214","133242","391113","85","133242","","",""
"215","133026","630577","218","133026","","",""
"216","132976","822488","111","132976","","",""
"217","132105","663631","218","132105","","",""
"218","131960","721120","117","131960","","",""
"219","131620","293525","87","131620","","",""
"220","131582","669765","202","131582","","",""
"221","129059","352022","226","129059","","",""
"222","127640","598616","217","127640","","",""
"223","127451","552009","290","127451","","",""
"224","126465","238609","88","126465","","",""
"225","126423","511515","110","126423","","",""
"226","126350","395762","147","126350","","",""
"227","125960","938149","217","125960","","",""
"228","125802","891034","204","125802","","",""
"229","125452","855921","325","125452","","",""
"230","124996","505556","166","124996","","",""
"231","124903","379856","85","124903","","",""
"232","124490","804051","290","124490","","",""
"233","124454","911230","192","124454","","",""
"234","124353","440334","257","124353","","",""
"235","123989","507067","185","123989","","",""
"236","122191","286291","187","122191","","",""
"237","122151","294155","99","122151","","",""
"238","121890","360560","155","121890","","",""
"239","121402","847493","95","121402","","",""
"240","121384","970174","334","121384","","",""
"241","121002","596203","197","121002","","",""
"242","120582","210298","174","120582","","",""
"243","120562","475084","98","120562","","",""
"244","120526","294844","99","120526","","",""
"245","119167","926703","132","119167","","",""
"246","119129","750680","103","119129","","",""
"247","119054","958948","204","119054","","",""
"248","119026","944065","156","119026","","",""
"249","119023","873486","103","119023","","",""
"250","117195","623649","117","117195","","",""
"251","117043","656983","188","117043","","",""
"252","117024","417882","255","117024","","",""
"253","113510","236275","105","113510","","",""
"254","112556","732249","202","112556","","",""
"255","112487","217815","174","112487","","",""
"256","111821","604502","89","111821","","",""
"257","110889","423283","140","110889","","",""
"258","110647","801265","98","110647","","",""
"259","110612","715649","172","110612","","",""
"260","110570","220474","141","110570","","",""
"261","110501","760155","103","110501","","",""
