			mx sample	304424	304423	304422	304421	304420	304419	304404	304405	304406	304407	304408	304409	304410	304412	304413	304414	304415	304416	304417	304418
			label	2.16.2016_001	3.01.2016_002	3.15.2016_003	3.29.2016_004	4.12.2016_005	4.26.2016_006	5.10.2016_007	5.24.2016_008	6.07.2016_009	6.21.2016_010	7.05.2016_011	7.19.2016_012	8.02.2016_013	8.16.2016_014	8.30.2016_015	9.13.2016_016	9.27.2016_017	10.18.2016_018	11.01.2016_019	11.29.2016_020
			species	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
			organ	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum
			treatment	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation
PubChem	KEGG	InChI Key	label	170104aOEsa17_1	170104aOEsa13_1	170104aOEsa03_1	170104aOEsa06_1	170104aOEsa15_1	170104aOEsa10_1	170104aOEsa16_1	170104aOEsa05_1	170104aOEsa19_1	170104aOEsa12_1	170104aOEsa04_1	170104aOEsa09_1	170104aOEsa08_1	170104aOEsa14_1	170104aOEsa07_1	170104aOEsa02_1	170104aOEsa20_1	170104aOEsa11_1	170104aOEsa18_1	170104aOEsa01_1
439377	C01046	XLBVNMSMFQMKEY-BYPYZUCNSA-N	N-methylglutamic acid	8430	6681	8221	5498	5733	5764	9573	6143	9483	4387	4705	6140	7138	7473	4930	6876	6419	7069	7329	9035
5288725	C02721	GDFAOVXKHJXLEI-VKHMYHEASA-N	N-methylalanine	36739	47400	46386	23001	39495	20746	37965	48620	47986	50464	30869	48742	24072	44745	37996	44199	47332	46868	32745	23077
70914	C00624	RFMMMVDNIPUKGG-YFKPBYRVSA-N	n-acetylglutamate	3094	2945	2066	2573	2491	2809	3480	2245	3242	1472	3659	2237	2879	2512	2303	1087	4037	2054	3692	4244
11005	C06424	TUNFSRHWOTWDNC-UHFFFAOYSA-N	myristic acid	11358	6370	5988	4365	5280	3566	4536	3814	7856	3952	4175	3976	9697	5024	4924	5002	5665	7916	4648	4703
892	C00137	CDAISMWEOUEBRE-UHFFFAOYSA-N	myo-inositol	44312	32993	44148	37402	31845	40649	40056	43026	38333	32052	56122	43999	49920	33190	38441	35257	45469	33851	40533	33679
158980	C02989	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	methionine sulfoxide	6520	6093	6438	11504	5191	6184	11497	5817	8588	4152	7489	11082	8500	9870	11723	9538	16016	10326	6775	8611
6137	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N	methionine	5176	8571	3186	4616	8061	8135	5992	7680	6626	8515	6175	6774	2983	7422	4505	6364	4151	7255	7582	6152
13130		CAAULPUQFIIOTL-UHFFFAOYSA-N	methanolphosphate	7532	7759	14723	8469	7200	7932	8161	6873	8737	9294	7278	12663	9652	7987	9826	8484	8561	5677	11053	7291
18950	C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N	mannose	61338	50138	44678	41072	35823	27365	36858	25316	56290	46492	39952	70815	83345	53314	41422	42688	58543	45771	36610	45192
525	C00711	BJEPYKJPYRNKOW-UHFFFAOYSA-N	malic acid	2467	1234	1634	1244	2675	997	1895	1455	2056	1381	2194	751	1329	967	1389	1229	1466	1467	1385	953
10935	C07272	PEEHTFAAVSWFBL-UHFFFAOYSA-N	maleimide	3431	4361	6385	4603	3531	3664	4196	4362	3391	4711	4786	3606	3105	4132	3130	3846	3305	4257	3746	4557
439255	C00532	HEBKCHPVOIAQTA-IMJSIDKUSA-N	lyxitol	5692	4635	4871	6898	3507	5509	5162	4989	5572	4382	4421	4415	5407	2578	2765	3855	530	1617	5309	4741
5962	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	lysine	60834	70391	64295	74452	52846	71358	64593	84637	86894	102719	64704	116398	89230	87290	84217	59639	74587	74137	68076	82483
5280450	C01595	OYHQOLUKZRVURQ-HZJYTTRNSA-N	linoleic acid	12776	7933	4145	3046	5882	1305	303	2720	5431	818	1261	2975	12119	4646	2312	3444	3007	7891	2818	1982
6106	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	leucine	129961	207413	173807	167228	153615	181540	178969	186170	190574	198008	125882	203008	109175	236717	150723	203280	199825	199977	184186	130567
3893	C02679	POULHZVOKOAJMA-UHFFFAOYSA-N	lauric acid	21744	17681	23443	28034	20617	9823	13843	9167	31933	20785	9638	13499	24001	15866	19000	11339	12904	23157	10885	18030
612	C01432	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	lactic acid	557283	621589	572360	608046	1457014	798321	730385	588505	490029	488097	867055	519871	498268	589238	682347	941373	480811	791939	880314	765419
94220		SXQFCVDSOLSHOQ-UHFFFAOYSA-N	lactamide	1621	793	1472	1050	3120	1718	2144	1586	1293	979	2101	1478	1333	1094	968	1978	1373	2150	2337	1814
151152	C00639	JPIJQSOTBSSVTP-GBXIJSLDSA-N	isothreonic acid	2706	2818	2884	2657	1782	3056	3436	2127	3089	2531	3209	2491	2542	2604	2313	2860	3849	2813	3256	2684
6306	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N	isoleucine	88064	127836	94010	104697	80637	117413	125153	115001	114297	112991	89239	131358	73695	168079	124167	111864	120696	119907	124986	102537
6021	C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N	inosine	5231	1542	1562	2101	2605	6548	11087	7767	9122	8795	3260	7333	13709	4537	7529	6303	4825	2766	1567	3078
92904	C02043	XGILAAMKEQUXLS-UHFFFAOYSA-N	indole-3-lactate	3179	3221	4159	3956	3037	4578	1357	4913	3457	3652	4201	4869	4658	3811	4690	4481	3539	3256	3373	3876
802	C00954	SEOVTRFCIGRIMH-UHFFFAOYSA-N	indole-3-acetate	2638	3307	4411	3652	1143	4837	4855	4145	3317	4823	4118	5187	7337	3469	4612	3714	3637	3165	1680	3417
790	C00262	FDGQSTZJBFJUBT-UHFFFAOYSA-N	hypoxanthine	9817	6603	6588	7983	8683	2593	3710	2972	4958	5877	6879	4575	4597	5106	2812	3329	5106	5497	3140	5393
787	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N	hydroxylamine	169379	167553	158029	132464	172083	169024	220653	103790	184378	171240	120305	122399	142882	152499	155726	109591	206808	145467	238653	118793
16639161		DRAJWRKLRBNJRQ-UHFFFAOYSA-M	hydroxycarbamate NIST	63147	52424	57651	43365	53500	59538	66485	38377	64093	57987	35346	51709	45151	51147	52736	46030	84413	63052	62846	45623
6274	C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N	histidine	5528	6859	6244	9148	6939	9315	6284	6986	11749	16360	6348	18887	16246	19978	25285	7180	6884	11315	5892	4458
464	C01586	QIAFMBKCNZACKA-UHFFFAOYSA-N	hippuric acid	4554	1345	1439	1086	2398	2179	6761	1530	1739	1777	3710	6288	1656	1518	1612	1586	2269	1205	1856	2906
152867		IAJILQKETJEXLJ-UHFFFAOYSA-N	hexuronic acid	2627	1802	1947	2411	1815	1294	2385	1252	2814	974	2582	1165	2725	2168	2618	1293	2911	860	1061	985
453	C00392	FBPFZTCFMRRESA-UHFFFAOYSA-N	hexitol	9713	4018	5877	5320	4824	558	5763	5011	5847	3250	5791	3773	4024	3286	4014	1619	2768	4142	2250	4656
10465		KEMQGTRYUADPNZ-UHFFFAOYSA-N	heptadecanoic acid	8106	6329	9484	9120	9129	7556	8727	2810	7447	7857	4499	8854	11538	7830	4582	9717	10222	9213	3023	8493
6802	C00387	NYHBQMYGNKIUIF-UUOKFMHZSA-N	guanosine	721	282	291	393	612	634	1226	662	1153	1261	615	914	1683	990	608	546	938	752	374	812
757	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N	glycolic acid	3571	2565	3423	1773	1863	2765	2144	2550	3416	3131	3482	1731	2410	2443	2255	1606	2600	1922	2397	2133
750	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N	glycine	137061	158347	152950	163448	128747	125274	177051	171081	154394	138490	148774	125399	115872	136466	126451	135709	140571	140945	180936	159921
754	C03189	AWUCVROLDVIAJX-UHFFFAOYSA-N	glycerol-alpha-phosphate	1951	2770	2704	2014	1751	1975	2580	1835	2417	1037	1742	2053	1998	1167	1942	1701	1447	2042	1728	2521
753	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N	glycerol	182606	88007	78643	49019	94609	35357	57716	53896	96190	48118	62321	48833	83121	63856	49097	81344	38442	91929	61526	33835
439194	C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N	glyceric acid	8894	6671	6692	2335	3398	4251	355	5532	3799	7513	5635	4497	2506	5212	4064	5293	9159	2896	5830	4750
5961	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N	glutamine	122597	147869	123278	146583	115188	165324	185167	153778	194994	148508	133553	164544	170087	174095	170461	140672	187776	159822	142355	120627
33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N	glutamic acid	11980	13632	13204	14725	14074	8214	10103	9184	7094	12355	16766	6568	10513	13000	7988	6783	13591	12673	11358	17240
64689	C00221	WQZGKKKJIJFFOK-VFUOTHLCSA-N	glucose	997447	904055	1029959	894154	795620	926961	713016	842756	1028180	1170068	958933	1072273	1284732	874813	1075109	997258	979469	906240	899275	1031974
6857417	C00800	RGHNJXZEOKUKBD-QTBDOELSSA-N	gluconic acid	542	250	896	598	633	727	539	781	524	638	999	581	837	656	688	240	112	651	711	920
5460044	C01507	FBPFZTCFMRRESA-UNTFVMJOSA-N	galactitol	895	1345	980	1006	1094	653	2383	143	1857	1572	1602	2244	1612	1371	870	1390	2079	2041	1946	1403
